Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
139007,797161664,679347,679347,0,44.264,1584.91,1000,0,0,0,0,0,0,0,12,131972,21,14,22,11,179481920,28560,19040,10.3293,1000,0,0,0,0
140057,797161664,679347,679347,0,44.384,1378.38,1000,0,0,0,0,0,0,0,12,132965,21,14,22,11,180832400,28560,19040,10.329,1000,0,0,0,0
141108,797161664,679347,679347,0,43.902,1395.36,1000,0,0,0,0,0,0,0,12,133957,21,14,22,11,182181520,28560,19040,10.3286,1000,0,0,0,0
142164,797161664,679347,679347,0,43.962,1420.66,1000,0,0,0,0,0,0,0,12,134966,21,14,22,11,183553760,28560,19040,10.3291,1000,0,0,0,0
143212,797161664,679347,679347,0,46.059,2067.42,1000,0,0,0,0,0,0,0,12,135961,21,14,22,11,184906960,28560,19040,10.3291,1000,0,0,0,0
144262,797161664,679347,679347,0,43.271,1985.92,1000,0,0,0,0,0,0,0,12,136958,21,14,22,11,186262880,28560,19040,10.3291,1000,0,0,0,0
145320,797161664,679347,679347,0,44.838,4837.21,1000,0,0,0,0,0,0,0,12,137965,21,14,22,11,187632400,28560,19040,10.3293,1000,0,0,0,0
146370,797161664,679347,679347,0,43.115,1383.54,1000,0,0,0,0,0,0,0,12,138962,21,14,22,11,188988320,28560,19040,10.3293,1000,0,0,0,0
147419,797161664,679347,679347,0,43.878,1583.12,1000,0,0,0,0,0,0,0,12,139955,21,14,22,11,190338800,28560,19040,10.3291,1000,0,0,0,0
148478,797161664,679347,679347,0,43.795,1380.29,1000,0,0,0,0,0,0,0,12,140962,21,14,22,11,191708320,28560,19040,10.3292,1000,0,0,0,0
149527,797161664,679347,679347,0,43.532,1188.58,1000,0,0,0,0,0,0,0,12,141959,21,14,22,11,193064240,28560,19040,10.3293,1000,0,0,0,0
150586,797161664,679347,679347,0,43.092,1279.32,1000,0,0,0,0,0,0,0,12,142967,21,14,22,11,194435120,28560,19040,10.3295,1000,0,0,0,0
151635,797161664,679347,679347,0,43.185,1413.54,1000,0,0,0,0,0,0,0,12,143963,21,14,22,11,195789680,28560,19040,10.3295,1000,0,0,0,0
152688,797161664,679347,679347,0,47.536,1582.43,1000,0,0,0,0,0,0,0,12,144960,21,14,22,11,197145600,28560,19040,10.3293,1000,0,0,0,0
153747,797161664,679347,679347,0,43.391,1482.19,1000,0,0,0,0,0,0,0,12,145972,21,14,22,11,198521920,28560,19040,10.3297,1000,0,0,0,0
154790,797161664,679347,679347,0,43.318,1503.84,1000,0,0,0,0,0,0,0,12,146955,21,14,22,11,199858800,28560,19040,10.3292,1000,0,0,0,0
155847,797161664,679347,679347,0,44.4,1389.76,1000,0,0,0,0,0,0,0,12,147962,21,14,22,11,201228320,28560,19040,10.3295,1000,0,0,0,0
156897,797161664,679347,679347,0,43.425,1220.74,1000,0,0,0,0,0,0,0,12,148959,21,14,22,11,202584240,28560,19040,10.3295,1000,0,0,0,0
157956,797161664,679347,679347,0,52.16,1349.29,1000,0,0,0,0,0,0,0,12,149966,21,14,22,11,203953760,28560,19040,10.3296,1000,0,0,0,0
159006,797161664,679347,679347,0,104.961,1291.28,1000,0,0,0,0,0,0,0,12,150962,21,14,22,11,205308320,28560,19040,10.3295,1000,0,0,0,0
160054,797161664,679347,679347,0,188.297,1516.34,1000,0,0,0,0,0,0,0,12,151906,24,14,26,12,206592160,32640,19040,10.3261,1000,0,0,0,0
161115,797161664,679347,679347,0,178.361,1285.72,1000,0,0,0,0,0,0,0,12,152947,26,14,27,13,208007920,35360,19040,10.3284,1000,0,0,0,0
162161,797161664,679347,679347,0,226.745,1438.02,1000,0,0,0,0,0,0,0,12,153638,28,14,34,17,208947680,38080,19040,10.3081,1000,0,0,0,0
163223,797161664,679347,679347,0,303.114,1564.06,1000,0,0,0,0,0,0,0,12,154324,33,18,37,20,209880640,44880,24480,10.2868,1000,0,0,0,0
164379,797161664,679347,679347,0,303.114,1437.13,1000,0,0,0,0,0,0,0,12,155054,41,28,37,20,210873440,55760,38080,10.2628,1000,0,0,0,0
165342,797161664,679347,679347,0,806.776,1286.51,1000,0,0,0,0,0,0,0,12,156338,85,30,38,21,212619680,115600,40800,10.2875,1000,0,0,0,0
166440,797161664,679347,679347,0,297.674,1750.76,1000,0,0,0,0,0,0,0,12,157943,87,74,40,23,214802480,118320,100640,10.3246,1000,0,0,0,0
167491,797161664,679347,679347,0,48.38,1244.63,1000,0,0,0,0,0,0,0,12,158974,87,74,40,23,216204640,118320,100640,10.3267,1000,0,0,0,0
168540,797161664,679347,679347,0,48.698,1234.57,1000,0,0,0,0,0,0,0,12,159971,87,74,40,23,217560560,118320,100640,10.3268,1000,0,0,0,0
169600,797161664,679347,679347,0,45.752,1217.4,1000,0,0,0,0,0,0,0,12,160978,87,74,40,23,218930080,118320,100640,10.3268,1000,0,0,0,0
